level_0,level_1,level_2,level_3,v33,v76,v12,v68,v50,v7,v70,v55,v20,v24,v32,v97,v28,v99,v95,v42,v53,v85,v9,v84,v44,classlabel
v,g,17,92,f,1,75,a,t,80,0,54,1,u,2,82,t,c,t,800000,5,g,0,f,f,no.
v,s,16,92,f,0,29,b,f,200,0,335,0,y,3,45,f,k,0,2000000,0,p,1,f,f,no.
ff,g,31,25,f,0,0,b,t,96,0,1125,1,u,3,24,f,ff,t,960000,19,g,0,f,f,no.
o,g,48,17,f,0,335,a,f,0,0,1335,0,u,4,21,f,i,0,0,120,g,1,f,f,no.
v,g,32,33,t,0,5,b,f,232,0,35,0,u,3,44,t,k,f,2320000,0,g,1,f,f,no.
h,g,34,83,f,0,5,a,f,160,0,125,0,y,3,64,t,i,f,1600000,0,p,0,f,f,no.
j,g,26,17,t,0,0,a,f,276,0,2,0,u,2,74,t,j,0,2760000,1,g,1,f,f,no.
h,g,21,17,f,0,25,b,f,280,0,875,0,y,4,3,f,c,0,2800000,204,p,1,f,f,no.
v,g,28,92,f,0,29,b,f,220,0,375,0,u,2,49,f,c,0,2200000,140,g,0,f,f,no.
h,g,18,17,f,1,85,b,f,320,0,1025,0,u,2,96,f,c,0,3200000,13,g,0,f,f,no.
h,g,24,75,f,1,5,a,f,280,0,13665,0,u,3,41,f,q,f,2800000,1,g,0,f,f,no.
j,g,31,75,f,0,0,a,f,160,0,3,0,y,3,42,f,j,f,1600000,20,p,1,f,f,no.
h,g,18,17,f,0,165,a,f,340,0,1,0,y,3,12,f,q,f,3400000,0,p,0,f,f,no.
v,g,18,25,f,1,0,a,t,120,0,1,1,u,4,6,f,W,0,1200000,1,g,1,f,f,no.
h,g,17,58,f,0,165,b,t,120,0,1,1,u,3,44,f,W,t,1200000,1,g,1,f,f,no.
ff,g,51,83,f,1,5,b,f,120,0,204,0,y,3,29,f,ff,0,1200000,1,p,0,f,f,no.
bb,g,26,67,f,0,0,b,f,178,0,14585,0,u,2,93,t,i,f,1780000,0,g,0,f,f,no.
v,g,31,42,f,0,5,b,f,120,0,155,0,u,3,83,f,c,f,1200000,0,g,1,f,t,no.
h,g,25,67,f,2,29,b,t,416,0,325,1,u,2,41,t,c,t,4160000,21,g,0,f,f,no.
bb,g,33,75,f,0,0,b,f,180,0,275,0,u,5,63,f,i,f,1800000,0,g,1,f,f,no.
h,g,32,75,f,5,75,b,f,292,0,2335,0,u,2,88,t,d,f,2920000,0,g,0,f,f,no.
v,s,39,83,f,0,25,b,f,288,0,5,0,u,4,8,f,m,0,2880000,0,g,1,f,t,no.
v,g,40,33,f,0,165,a,t,0,0,8125,2,y,3,58,f,k,0,0,18,p,0,f,f,no.
v,g,35,25,f,4,0,b,f,80,0,165,0,y,4,9,f,c,0,800000,0,p,0,t,f,no.
bb,g,24,33,f,4,5,a,f,200,0,25,0,y,2,51,f,i,f,2000000,456,p,1,f,f,no.
v,g,15,75,f,1,0,a,f,120,0,375,0,u,2,88,f,c,f,1200000,18,g,1,f,f,no.
h,g,30,42,f,0,4,a,t,0,0,1375,3,u,3,55,f,W,0,0,33,g,1,f,f,no.
v,g,17,25,f,0,4,b,f,160,0,3,0,u,3,57,t,k,0,1600000,40,g,0,f,f,no.
v,g,38,58,f,13,5,a,f,980,0,5,0,u,3,23,t,cc,0,9800000,0,g,1,f,t,no.
v,g,22,67,f,1,585,b,t,400,0,75,1,u,5,8,t,i,0,4000000,9,g,0,f,f,no.
v,g,27,83,f,2,25,b,t,100,0,15,1,u,3,21,t,W,0,1000000,3,g,1,f,f,no.
v,g,16,5,f,0,25,a,t,108,0,125,1,u,2,63,f,q,t,1080000,98,g,1,f,f,no.
v,g,25,67,f,4,0,b,f,188,0,221,0,y,3,1,f,aa,f,1880000,0,p,1,f,t,no.
v,g,36,67,f,0,25,b,f,221,0,2,0,u,3,5,t,i,0,2210000,0,g,0,f,f,no.
v,g,26,17,f,1,165,b,f,100,0,835,0,u,3,74,f,cc,f,1000000,0,g,1,f,f,no.
v,g,0,0,f,8,5,b,f,0,0,5,0,y,4,39,f,aa,f,0,0,p,1,f,t,no.
h,g,47,25,t,2,75,a,t,333,0,75,1,u,4,29,f,q,0,3330000,892,g,0,t,f,yes.
v,g,33,67,t,0,375,a,f,300,0,375,0,u,3,22,f,cc,0,3000000,44,g,1,f,f,yes.
h,g,33,17,t,6,5,b,f,164,0,104,0,u,1,54,t,r,0,1640000,31285,g,0,t,f,yes.
h,g,25,0,t,1,4,a,f,160,0,875,0,u,3,94,t,x,f,1600000,5860,g,1,f,t,yes.
v,g,26,67,t,1,0,b,t,160,0,175,5,y,2,8,t,c,0,1600000,5777,p,1,f,t,yes.
v,g,48,5,t,0,125,b,f,225,0,425,0,u,4,64,t,m,0,2250000,0,g,1,f,t,yes.
v,g,37,42,t,0,4,b,f,400,0,204,0,u,2,96,t,W,0,4000000,5800,g,1,f,t,yes.
n,g,18,0,t,0,21,b,f,200,0,165,0,u,4,64,f,q,f,2000000,40,g,1,f,f,yes.
ff,g,56,5,t,0,0,a,t,0,0,16,15,u,3,36,f,j,t,0,247,g,0,t,f,yes.
v,g,25,75,t,1,46,b,t,312,0,5,5,u,1,44,t,c,t,3120000,0,g,1,f,t,yes.
v,g,22,58,t,0,415,a,t,0,0,1075,5,u,2,87,t,q,0,0,560,g,1,f,t,yes.
h,g,33,17,t,2,4,b,t,180,0,304,1,y,1,58,t,c,t,1800000,18027,p,1,f,t,yes.
h,g,32,0,t,0,4,b,f,393,0,175,0,y,3,5,t,e,0,3930000,0,p,0,t,f,yes.
h,g,40,83,t,1,75,a,f,29,0,1,0,u,5,22,f,q,0,290000,837,g,1,f,t,yes.
v,g,59,67,t,0,125,b,f,260,0,154,0,u,1,5,t,q,f,2600000,0,g,1,f,t,yes.
v,g,42,5,t,3,165,b,f,52,0,4915,0,y,4,3,t,W,0,520000,1442,p,1,f,t,yes.
z,g,28,8,t,0,0,a,f,0,0,15,0,y,1,92,f,e,0,0,13212,p,1,f,t,yes.
v,g,37,75,t,0,125,a,f,228,0,55,0,u,5,14,t,q,f,2280000,0,g,1,f,t,yes.
v,g,53,92,t,8,665,b,t,0,0,9625,5,u,4,7,f,e,0,0,0,g,1,f,t,yes.
bb,g,47,67,t,15,0,b,t,0,0,29,20,u,2,48,f,c,t,0,15000,g,0,t,f,yes.
v,s,23,25,t,0,835,b,f,300,0,1,0,u,3,6,f,c,f,3000000,0,g,0,t,f,yes.
h,g,22,67,t,2,585,b,f,0,0,254,0,y,3,25,f,c,f,0,0,p,0,t,f,yes.
ff,g,54,58,t,14,415,b,t,30,0,9415,11,u,2,94,t,ff,0,300000,300,g,1,f,t,yes.
h,g,34,25,t,7,415,b,f,0,0,3,0,u,5,9,t,cc,0,0,0,g,1,f,t,yes.
v,g,27,58,t,2,0,b,t,370,0,204,3,y,3,45,t,aa,0,3700000,560,p,0,t,f,yes.
v,g,60,92,t,4,0,a,t,0,0,5,4,u,3,96,f,aa,t,0,99,g,0,t,f,yes.
v,g,47,42,t,13,875,a,t,519,0,3,2,u,3,52,t,x,0,5190000,1704,g,1,f,t,yes.
h,g,37,33,t,4,25,b,t,93,0,65,12,u,3,25,t,m,0,930000,0,g,0,t,f,yes.
v,g,33,25,f,2,5,a,f,0,0,25,0,y,3,23,t,c,f,0,2,p,1,f,f,no.
h,g,24,58,f,1,75,a,f,400,0,67,0,u,3,77,f,aa,0,4000000,0,g,1,f,t,no.
v,g,21,83,f,0,85,b,f,356,0,154,0,u,2,26,t,k,0,3560000,0,g,1,f,f,no.
v,g,15,17,f,1,0,b,f,600,0,7,0,u,2,16,f,e,0,6000000,0,g,0,f,f,no.
v,g,22,92,f,0,165,b,f,160,0,3165,0,y,4,97,f,c,0,1600000,1058,p,0,f,f,no.
ff,s,69,5,f,0,0,a,f,0,0,6,0,u,1,26,f,ff,f,0,0,g,1,f,f,no.
v,g,22,0,f,0,29,b,t,420,0,79,1,u,3,59,f,W,0,4200000,283,g,0,f,f,no.
v,g,24,75,f,1,0,b,f,120,0,54,0,u,4,33,t,m,0,1200000,1,g,0,f,f,no.
v,g,20,75,f,0,29,b,f,140,0,5085,0,y,1,25,f,j,0,1400000,184,p,0,f,f,no.
v,s,23,0,f,0,5,b,f,320,0,75,0,u,4,22,t,m,0,3200000,0,g,0,t,f,no.
v,s,20,67,f,2,0,b,f,240,0,835,0,y,3,27,t,c,f,2400000,0,p,0,f,f,no.
ff,g,48,75,f,0,0,b,f,0,0,26335,0,y,1,97,t,ff,f,0,0,p,1,f,t,no.
ff,g,51,83,f,1,5,b,f,180,0,3,0,y,1,39,f,ff,f,1800000,4,p,0,f,f,no.
v,g,22,75,f,0,415,b,f,0,0,115,0,u,4,3,f,i,0,0,0,g,1,f,f,no.
ff,g,17,92,f,0,0,a,f,0,0,1021,0,u,3,16,f,ff,0,0,50,g,0,f,f,no.
0,g,42,25,f,0,0,0,f,150,0,175,0,y,3,54,t,0,f,1500000,1,p,0,f,f,no.
v,g,27,67,f,0,25,a,f,180,0,204,0,u,4,14,t,W,f,1800000,50,g,0,f,f,no.
v,g,28,75,f,1,5,b,f,0,0,15,0,y,5,5,t,c,f,0,225,p,0,t,f,no.
h,g,37,75,f,11,5,b,t,300,0,7,7,u,3,22,t,q,t,3000000,5,g,0,t,f,no.
v,s,28,75,f,0,5,b,f,280,0,1165,0,u,2,76,f,k,0,2800000,0,g,1,f,t,no.
ff,g,23,5,f,4,5,b,f,160,0,275,0,u,4,75,f,ff,f,1600000,25,g,1,f,f,no.
